trace,num_requests,num_objects,req_gib,obj_gib,compulsory_miss_ratio,obj_size_req,obj_size_obj,freq_mean,time_span_sec,onehit_count,onehit_ratio
tencentBlock.ns7315.oracleGeneral.zst,149044977,2728045,0.1388,0.0025,0.0183,1.0,1.0,54.6344,781199,450902,0.1653
tencentBlock.ns7314.oracleGeneral.zst,4774701,211624,0.0044,0.0002,0.0443,1.0,1.0,22.5622,781199,74161,0.3504
tencentBlock.ns7299.oracleGeneral.zst,5811916,1561646,0.0054,0.0015,0.2687,1.0,1.0,3.7217,781196,946077,0.6058
tencentBlock.ns7290.oracleGeneral.zst,2459843,325492,0.0023,0.0003,0.1323,1.0,1.0,7.5573,781199,63758,0.1959
tencentBlock.ns7287.oracleGeneral.zst,1608112,122151,0.0015,0.0001,0.076,1.0,1.0,13.165,781199,44641,0.3655
tencentBlock.ns7282.oracleGeneral.zst,3754640,401065,0.0035,0.0004,0.1068,1.0,1.0,9.3617,781199,77510,0.1933
tencentBlock.ns7279.oracleGeneral.zst,3263507,432940,0.003,0.0004,0.1327,1.0,1.0,7.538,781198,138794,0.3206
tencentBlock.ns7267.oracleGeneral.zst,2326222,201171,0.0022,0.0002,0.0865,1.0,1.0,11.5634,781194,53634,0.2666
tencentBlock.ns7255.oracleGeneral.zst,21537936,4454827,0.0201,0.0041,0.2068,1.0,1.0,4.8347,781198,3721041,0.8353
tencentBlock.ns7250.oracleGeneral.zst,7021432,177919,0.0065,0.0002,0.0253,1.0,1.0,39.4642,781199,20056,0.1127
tencentBlock.ns7246.oracleGeneral.zst,4489858,505497,0.0042,0.0005,0.1126,1.0,1.0,8.8821,781195,130273,0.2577
tencentBlock.ns7243.oracleGeneral.zst,15431885,109716,0.0144,0.0001,0.0071,1.0,1.0,140.653,781199,19951,0.1818
tencentBlock.ns7207.oracleGeneral.zst,2399121,312746,0.0022,0.0003,0.1304,1.0,1.0,7.6711,781198,68155,0.2179
